   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.012    0.000    0.012    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_compiler.py:243(_optimize_charset)
    77504    0.011    0.000    0.011    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numeric.py:734(_convolve_dispatcher)
    19899    0.011    0.000    0.021    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/utils.py:515(stream_list)
     5626    0.011    0.000    0.015    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:129(_set_pad_area)
 2673/333    0.010    0.000    0.094    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/context.py:428(install_registry)
25511/24697    0.010    0.000    0.016    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:121(__hash__)
    33756    0.010    0.000    0.010    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
     5626    0.010    0.000    0.014    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:154(_get_edges)
    19692    0.010    0.000    0.043    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/_methods.py:61(_all)
6215/5671    0.009    0.000    0.496    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
    11253    0.009    0.000    0.009    0.000 {method 'astype' of 'numpy.generic' objects}
    19692    0.009    0.000    0.052    0.000 {method 'all' of 'numpy.ndarray' objects}
     8439    0.009    0.000    0.024    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/function_base.py:1461(interp)
    16878    0.009    0.000    0.011    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/librosa/util/utils.py:351(is_positive_int)
    16878    0.009    0.000    0.028    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:537(swapaxes)
    81045    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    33758    0.008    0.000    0.008    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    16878    0.008    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/serialize.py:30(_numba_unpickle)
    22504    0.008    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:33(_slice_at_axis)
    24179    0.008    0.000    0.033    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:1314(new_registrations)
    14638    0.008    0.000    0.016    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/event.py:100(__init__)
    16878    0.007    0.000    0.009    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/_signaltools.py:4265(_validate_x)
     7319    0.007    0.000    0.020    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/event.py:404(end_event)
     2813    0.007    0.000    0.014    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/shape_base.py:292(hstack)
      300    0.007    0.000    0.013    0.000 {built-in method io.open}
     8439    0.007    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.interp}
    16882    0.007    0.000    0.009    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/getlimits.py:484(__new__)
     7319    0.007    0.000    0.020    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/event.py:390(start_event)
    57510    0.007    0.000    0.007    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/shape_base.py:19(_atleast_1d_dispatcher)
    19899    0.007    0.000    0.009    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/utils.py:524(sublist_iterator)
    16882    0.007    0.000    0.035    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/getlimits.py:612(tiny)
     2813    0.007    0.000    0.010    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/twodim_base.py:234(diag)
     4063    0.007    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numeric.py:136(ones)
       42    0.006    0.000    0.006    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       46    0.006    0.000    0.027    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typeconv/castgraph.py:92(propagate)
     1097    0.006    0.000    0.022    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:879(make_overload_template)
    14638    0.006    0.000    0.010    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/event.py:209(broadcast)
    16880    0.006    0.000    0.006    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:25(_maybe_view_as_subclass)
     2376    0.006    0.000    0.031    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/base.py:352(install_registry)
    14642    0.006    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/event.py:66(_guard_kind)
     4064    0.005    0.000    0.014    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
